2015-01-10 19:27:37 - infiSTAR.de AdminLog | 1h 20min | Ludacris (76561198053094647) spawned Pickup_PK_TK_GUE_EP1_DZE4 @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:30:47 - infiSTAR.de AdminLog | 1h 23min | Ludacris Spectating Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:03 - infiSTAR.de AdminLog | 1h 23min | Ludacris GroupIcons Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:05 - infiSTAR.de AdminLog | 1h 23min | Ludacris GroupIcons Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:10 - infiSTAR.de AdminLog | 1h 23min | Ludacris Terrain Low   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:10 - infiSTAR.de AdminLog | 1h 23min | Ludacris Terrain Normal   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:11 - infiSTAR.de AdminLog | 1h 23min | Ludacris Terrain Low   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:12 - infiSTAR.de AdminLog | 1h 23min | Ludacris Terrain Normal   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:13 - infiSTAR.de AdminLog | 1h 23min | Ludacris Vehboost On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:19 - infiSTAR.de AdminLog | 1h 23min | Ludacris Vehboost Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:21 - infiSTAR.de AdminLog | 1h 23min | Ludacris ZedShield Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:21 - infiSTAR.de AdminLog | 1h 23min | Ludacris ZedShield Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:23 - infiSTAR.de AdminLog | 1h 24min | Ludacris ZedShield Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:24 - infiSTAR.de AdminLog | 1h 24min | Ludacris FastFire ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:25 - infiSTAR.de AdminLog | 1h 24min | Ludacris FastFire OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:30 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:31 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:34 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:35 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:36 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:31:39 - infiSTAR.de AdminLog | 1h 24min | Ludacris Invisibility Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:33:37 - infiSTAR.de AdminLog | 1h 26min | Ludacris (76561198053094647) spawned Su34 @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 19:34:49 - infiSTAR.de AdminLog | 1h 27min | Ludacris ejected Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:07:23 - infiSTAR.de AdminLog | 0h 06min | Gandalf G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 20:07:25 - infiSTAR.de AdminLog | 0h 06min | Gandalf No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 20:07:57 - infiSTAR.de AdminLog | 0h 07min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:07:59 - infiSTAR.de AdminLog | 0h 07min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:08:04 - infiSTAR.de AdminLog | 0h 07min | Ludacris Invisibility Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:08:24 - infiSTAR.de AdminLog | 0h 07min | Ludacris Invisibility Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:09:09 - infiSTAR.de AdminLog | 0h 08min | Ludacris - added M4A1_Aim_camo to his inventory   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:09:17 - infiSTAR.de AdminLog | 0h 08min | Ludacris adminammo_recoil ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:09:38 - infiSTAR.de AdminLog | 0h 08min | Ludacris - added 30Rnd_556x45_Stanag to his inventory   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:10:30 - infiSTAR.de AdminLog | 0h 09min | Ludacris (76561198053094647) spawned UH60M_MEV_EP1 @086054   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:16:51 - infiSTAR.de AdminLog | 0h 15min | Ludacris (76561198053094647) spawned L39_TK_EP1 @015175   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:18:35 - infiSTAR.de AdminLog | 0h 17min | Ludacris (76561198053094647) spawned Su34 @014179   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:23:12 - infiSTAR.de AdminLog | 0h 22min | Gandalf Moving to Ludacris   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 20:23:56 - infiSTAR.de AdminLog | 0h 23min | Ludacris ejected Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 20:24:01 - infiSTAR.de AdminLog | 0h 23min | Ludacris Un-Froze Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
